2026-08-07 11:41:36,742 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:41:40,039 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:50:25,572 | ERROR | camera-CAM_Juniv301:16744 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:50:28,755 | ERROR | camera-CAM_Juniv301:16744 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:50:32,010 | ERROR | camera-CAM_Juniv301:16744 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:50:35,180 | ERROR | camera-CAM_Juniv301:16744 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:50:38,357 | ERROR | camera-CAM_Juniv301:16744 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:50:41,571 | ERROR | camera-CAM_Juniv301:16744 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:50:44,746 | ERROR | camera-CAM_Juniv301:16744 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:50:47,912 | ERROR | camera-CAM_Juniv301:16744 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:50:51,137 | ERROR | camera-CAM_Juniv301:16744 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:50:54,301 | ERROR | camera-CAM_Juniv301:16744 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:56:16,230 | ERROR | camera-CAM_Juniv301:7400 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
